id,height,weight
A00147,2.89612324,83.91452
A00220,3.43805764,70.30676
A00360,3.07160676,75.749864
A00367,3.34450944,111.13004
A01054,2.89612324,75.296272
A01072,3.07160676,88.45044
A01077,2.98321984,81.64656
A01148,3.25225156,77.11064
A01157,3.34450944,93.893544
A01181,3.25225156,86.636072
A01237,3.43805764,87.996848
A01258,2.98321984,68.0388
A01285,2.98321984,84.821704
A01349,3.25225156,97.52228
A01356,2.98321984,97.068688
A01365,3.43805764,93.893544
A01399,2.98321984,82.100152
A01411,3.07160676,84.821704
A01422,3.34450944,68.0388
A01457,2.98321984,104.779752
A01467,3.161284,76.657048
A01531,3.07160676,83.91452
A01615,3.629025,83.91452
A01676,3.07160676,72.57472
A01680,3.161284,72.57472
A01681,3.07160676,65.77084
A01694,2.89612324,63.50288
A01729,3.161284,99.79024
A01736,2.81031696,81.192968
A01759,3.07160676,70.760352
A01796,2.56064004,75.749864
A01806,3.43805764,97.975872
A01815,2.98321984,102.0582
A01824,3.34450944,95.25432
A01834,3.629025,90.7184
A01860,3.07160676,92.532768
A01889,2.725801,95.25432
A01906,3.07160676,52.16308
A01909,3.07160676,63.50288
A01929,2.98321984,70.760352
A01939,3.25225156,83.460928
A01950,3.07160676,117.480328
A01958,3.07160676,68.0388
A01990,3.43805764,86.18248
A01996,3.161284,68.492392
A02005,2.98321984,58.96696
A02008,2.81031696,68.0388
A02049,3.07160676,64.863656
A02074,3.161284,97.52228
A02077,3.25225156,95.25432
A02079,2.81031696,83.460928
A02088,3.07160676,83.91452
A02099,3.07160676,72.57472
A02133,2.98321984,65.77084
A02232,2.89612324,63.50288
A02244,3.53289616,86.18248
A02270,3.92515344,110.676448
A02306,3.161284,69.853168
A02312,2.81031696,74.84268
A02350,3.25225156,69.853168
A02376,3.07160676,92.079176
A02436,3.53289616,90.7184
A06045,3.629025,90.7184
A06264,3.07160676,86.18248
A06342,2.81031696,93.439952
A08064,2.89612324,98.429464
A08086,3.25225156,100.243832
